,dim,algo,param,jsd,iteration
115,32,n2v,1 1,0.001247116,19
116,32,n2v,1 1,0.001234071,20
117,32,n2v,1 1,0.001295074,21
118,32,n2v,1 1,0.001275811,22
119,32,n2v,1 1,0.001233243,23
120,32,n2v,1 1,0.0012542,24
121,32,n2v,1 1,0.001255751,25
122,32,n2v,1 1,0.001267415,26
123,32,n2v,1 1,0.00127781,27
124,32,n2v,1 1,0.001281411,28
125,32,n2v,1 1,0.001279871,29
4,64,hope,katz,0.001325139,0
126,64,n2v,1 1,0.001270155,0
127,64,n2v,1 1,0.001275344,1
128,64,n2v,1 1,0.001283276,2
129,64,n2v,1 1,0.001286256,3
130,64,n2v,1 1,0.001286163,4
131,64,n2v,1 1,0.001280366,5
132,64,n2v,1 1,0.001269411,6
133,64,n2v,1 1,0.001291088,7
134,64,n2v,1 1,0.0012788,8
135,64,n2v,1 1,0.001229805,9
136,64,n2v,1 1,0.001269488,10
137,64,n2v,1 1,0.001275323,11
138,64,n2v,1 1,0.001265896,12
139,64,n2v,1 1,0.001297238,13
140,64,n2v,1 1,0.001258046,14
141,64,n2v,1 1,0.001291831,15
142,64,n2v,1 1,0.001254306,16
143,64,n2v,1 1,0.001239566,17
144,64,n2v,1 1,0.001306505,18
145,64,n2v,1 1,0.001262951,19
146,64,n2v,1 1,0.001265813,20
147,64,n2v,1 1,0.001292268,21
148,64,n2v,1 1,0.001303347,22
149,64,n2v,1 1,0.001253472,23
150,64,n2v,1 1,0.001261277,24
151,64,n2v,1 1,0.001266891,25
152,64,n2v,1 1,0.001285044,26
153,64,n2v,1 1,0.001281368,27
154,64,n2v,1 1,0.001279415,28
155,64,n2v,1 1,0.001287819,29
5,128,hope,katz,0.001325139,0
156,128,n2v,1 1,0.001287518,0
157,128,n2v,1 1,0.001304003,1
158,128,n2v,1 1,0.001284449,2
159,128,n2v,1 1,0.001293256,3
160,128,n2v,1 1,0.001301907,4
161,128,n2v,1 1,0.001304223,5
162,128,n2v,1 1,0.001285516,6
163,128,n2v,1 1,0.001300977,7
164,128,n2v,1 1,0.001296607,8
165,128,n2v,1 1,0.0012811,9
166,128,n2v,1 1,0.001297431,10
167,128,n2v,1 1,0.001287081,11
168,128,n2v,1 1,0.001306627,12
169,128,n2v,1 1,0.001277419,13
170,128,n2v,1 1,0.001303119,14
171,128,n2v,1 1,0.001298444,15
172,128,n2v,1 1,0.001296514,16
173,128,n2v,1 1,0.001281922,17
174,128,n2v,1 1,0.0012727,18
175,128,n2v,1 1,0.001274273,19
176,128,n2v,1 1,0.00128294,20
177,128,n2v,1 1,0.001256735,21
178,128,n2v,1 1,0.001296542,22
179,128,n2v,1 1,0.001296464,23
180,128,n2v,1 1,0.001309725,24
181,128,n2v,1 1,0.001298379,25
182,128,n2v,1 1,0.00126815,26
183,128,n2v,1 1,0.001292017,27
184,128,n2v,1 1,0.00128214,28
185,128,n2v,1 1,0.001301733,29
